epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,533.97,1.11863,2.66724,1.40533,0.66855,0.58454,0.6309,0.42601,1.17376,1.58537,1.45586,0.00999583,0.00333194,0.00999583,0.00333194,0.00999583,0.00333194,0.00999583,0.00333194
2,954.656,1.16892,1.9276,1.42178,0.66783,0.56626,0.60909,0.39884,1.29773,1.70537,1.57572,0.0195999,0.0065333,0.0195999,0.0065333,0.0195999,0.0065333,0.0195999,0.0065333
3,1352.85,1.24275,1.95027,1.47152,0.62555,0.54332,0.58918,0.37096,1.3021,1.68668,1.60956,0.028808,0.00960267,0.028808,0.00960267,0.028808,0.00960267,0.028808,0.00960267
4,1746.18,1.26387,1.85277,1.487,0.72172,0.63209,0.69357,0.46917,1.22881,1.35216,1.50533,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2136.01,1.20416,1.61201,1.43858,0.77028,0.65805,0.72551,0.49754,1.20035,1.26615,1.46716,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2525.34,1.14654,1.45495,1.39918,0.77647,0.70853,0.76372,0.53968,1.12034,1.11364,1.39832,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2924.53,1.12155,1.36582,1.38062,0.78701,0.69739,0.7717,0.55436,1.09102,1.04265,1.36437,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,3325.12,1.08368,1.28002,1.35722,0.82382,0.72659,0.80073,0.57521,1.07188,0.97885,1.35742,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,3722.28,1.06023,1.23046,1.34424,0.80816,0.72589,0.80324,0.59011,1.0269,0.95166,1.3099,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,4117.01,1.04582,1.18257,1.32515,0.79178,0.73155,0.80627,0.5966,1.01136,0.93743,1.29982,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
